log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training rand 75888 2018-08-21 12:00:00 profit 1.022
thread 0 training rand 80224 2018-09-05 13:20:00 profit 1.320
thread 0 training rand 104965 2018-11-30 11:05:00 profit 0.950
thread 0 training rand 134749 2019-03-13 21:05:00 profit 1.043
thread 0 training rand 179922 2019-08-17 17:30:00 profit 0.764
thread 0 training rand 203069 2019-11-06 02:25:00 profit 0.975
thread 0 training rand 216097 2019-12-21 08:05:00 profit 1.014
thread 0 training rand 237250 2020-03-03 18:50:00 profit 0.912
thread 0 training rand 5535 2017-12-20 05:15:00 profit 1.114
thread 0 training rand 46571 2018-05-11 16:55:00 profit 1.016
thread 0 training rand 63415 2018-07-09 04:35:00 profit 1.107
thread 0 training rand 88829 2018-10-05 10:25:00 profit 0.921
thread 0 training rand 116528 2019-01-09 14:40:00 profit 0.980
thread 0 training rand 152264 2019-05-13 16:40:00 profit 1.334
thread 0 training rand 156897 2019-05-29 18:45:00 profit 0.717
thread 0 training rand 183165 2019-08-28 23:45:00 profit 0.941
thread 0 training rand 226221 2020-01-25 11:45:00 profit 0.943
thread 0 training rand 255113 2020-05-04 19:25:00 profit 0.903
thread 0 training rand 33 2017-12-01 02:45:00 profit 1.028
thread 0 training rand 29510 2018-03-13 11:10:00 profit 1.051
thread 0 training rand 56987 2018-06-16 20:55:00 profit 0.812
thread 0 training rand 99012 2018-11-09 19:00:00 profit 1.151
thread 0 training rand 117670 2019-01-13 13:50:00 profit 1.025
thread 0 training rand 138918 2019-03-28 08:30:00 profit 1.210
thread 0 training rand 161200 2019-06-13 17:20:00 profit 0.954
thread 0 training rand 184748 2019-09-03 11:40:00 profit 1.001
thread 0 training rand 211136 2019-12-04 02:40:00 profit 0.996
thread 0 training rand 249107 2020-04-13 22:55:00 profit 0.959
thread 0 training rand 18787 2018-02-04 05:35:00 profit 1.115
thread 0 training rand 36026 2018-04-05 02:10:00 profit 1.070
thread 0 training rand 70200 2018-08-01 18:00:00 profit 1.030
thread 0 training rand 85754 2018-09-24 18:10:00 profit 0.816
